#Compound	Isotopolog	mass	Tolerance [mmu]	z
Alanine	M0	44.0494	0.3	1
Alanine	15N	45.0464	0.3	1
Alanine	13C	45.0527	0.3	1
Alanine	2H	45.0557	0.3	1
Arginine	M0	70.065	0.3	1
Arginine	15N	71.0621	0.3	1
Arginine	13C	71.0684	0.3	1
Arginine	2H	71.0713	0.3	1
Methionine	M0	104.0527	0.3	1
Methionine	15N	105.0497	0.3	1
Methionine	33S	105.0521	0.3	1
Methionine	13C	105.056	0.3	1
Methionine	2H	105.0589	0.3	1
Methionine	34S	106.0485	0.3	1
Phenylalanine	M0	120.0805	0.3	1
Phenylalanine	15N	121.0776	0.3	1
Phenylalanine	13C	121.0839	0.3	1
Phenylalanine	2H	121.0866	0.3	1
